medcodeid,sin_cnd,sin_weight
146480018,1,.13
147320013,1,.13
99894013,1,.13
146816010,1,.13
508089013,1,.13
3939101000006112,1,.13
3939111000006110,1,.13
3939081000006116,1,.13
222741000000117,1,.13
3691001000006119,1,.13
121629017,1,.13
65349012,1,.13
3144611000006116,1,.13
301214019,1,.13
301825016,1,.13
1229598015,1,.13
301213013,1,.13
66718013,1,.13
301211010,1,.13
488111000006118,1,.13
59944016,1,.13
301212015,1,.13
