medcodeid,pep_cnd,pep_weight
302541014,1,.2
302531011,1,.2
3340761000006113,1,.2
86362013,1,.2
632091000006116,1,.2
302542019,1,.2
302532016,1,.2
302537010,1,.2
81301000006118,1,.2
3340781000006115,1,.2
3946041000006117,1,.2
3946051000006115,1,.2
302535019,1,.2
302569018,1,.2
885931000006111,1,.2
302576011,1,.2
302571018,1,.2
121891000006117,1,.2
302566013,1,.2
2709501000006113,1,.2
302575010,1,.2
396346019,1,.2
302565012,1,.2
2709521000006115,1,.2
2709511000006111,1,.2
2709531000006117,1,.2
2709491000006117,1,.2
302568014,1,.2
81501000006111,1,.2
396345015,1,.2
302495019,1,.2
221001000000111,1,.2
302486010,1,.2
6593391000006110,1,.2
6593401000006112,1,.2
6593381000006112,1,.2
302485014,1,.2
5497061000006118,1,.2
345501000006119,1,.2
397833011,1,.2
2937121000006115,1,.2
2937141000006110,1,.2
11902881000006118,1,.2
302534015,1,.2
5083811000006114,1,.2
353273019,1,.2
65759011,1,.2
353328012,1,.2
269374017,1,.2
885951000006116,1,.2
131281018,1,.2
37964010,1,.2
2860501000006116,1,.2
2860511000006118,1,.2
990731000006114,1,.2
302527017,1,.2
206556016,1,.2
302514016,1,.2
302526014,1,.2
52347016,1,.2
885821000006116,1,.2
484836012,1,.2
885771000006112,1,.2
3958891000006118,1,.2
508664015,1,.2
1235493010,1,.2
3958881000006116,1,.2
33419017,1,.2
885781000006110,1,.2
302604016,1,.2
76511000006111,1,.2
221011000000113,1,.2
81331000006114,1,.2
302615014,1,.2
27286010,1,.2
2755641000006118,1,.2
477650018,1,.2
302614013,1,.2
302606019,1,.2
81321000006111,1,.2
302608018,1,.2
27285014,1,.2
474430017,1,.2
885851000006113,1,.2
2704011000006118,1,.2
990721000006111,1,.2
4784381000006115,1,.2
302504013,1,.2
302513010,1,.2
302512017,1,.2
302502012,1,.2
885861000006110,1,.2
101926016,1,.2
1235462014,1,.2
3954241000006119,1,.2
885891000006119,1,.2
508524014,1,.2
990711000006115,1,.2
158231014,1,.2
4058101000006111,1,.2
302483019,1,.2
302482012,1,.2
302473018,1,.2
83140013,1,.2
885901000006115,1,.2
495535010,1,.2
2597751000006111,1,.2
498969017,1,.2
2597741000006114,1,.2
2597731000006116,1,.2
4058081000006115,1,.2
302471016,1,.2
302463015,1,.2
302472011,1,.2
158227015,1,.2
302530012,1,.2
302547013,1,.2
302555018,1,.2
302546016,1,.2
302554019,1,.2
302489015,1,.2
2656521000006114,1,.2
2656531000006112,1,.2
497833010,1,.2
3430281000006116,1,.2
1231704018,1,.2
885811000006112,1,.2
6875014,1,.2
885991000006110,1,.2
302564011,1,.2
302556017,1,.2
206557013,1,.2
302563017,1,.2
454252012,1,.2
411542014,1,.2
5574411000006117,1,.2
302585011,1,.2
302594017,1,.2
302586012,1,.2
302593011,1,.2
302525013,1,.2
2695521000006113,1,.2
885941000006118,1,.2
470365013,1,.2
885961000006119,1,.2
361430016,1,.2
4194481000006117,1,.2
459010010,1,.2
6048221000006118,1,.2
507303017,1,.2
885871000006115,1,.2
3912771000006119,1,.2
302562010,1,.2
457315015,1,.2
495344012,1,.2
3296621000006114,1,.2
885981000006112,1,.2
362951000000115,1,.2
269376015,1,.2
269371013,1,.2
269377012,1,.2
302487018,1,.2
2752321000006114,1,.2
2752311000006118,1,.2
7023731000006115,1,.2
2649532016,1,.2
317691000000117,1,.2
7023711000006114,1,.2
7023741000006113,1,.2
7023701000006111,1,.2
6048251000006110,1,.2
459013012,1,.2
269314010,1,.2
269315011,1,.2
269309011,1,.2
394147019,1,.2
269308015,1,.2
40392014,1,.2
302481017,1,.2
3292411000006119,1,.2
885791000006113,1,.2
495273013,1,.2
486596015,1,.2
3095701000006110,1,.2
885911000006117,1,.2
3739191000006114,1,.2
554311000006114,1,.2
885831000006118,1,.2
302538017,1,.2
302511012,1,.2
302492016,1,.2
7828471000006118,1,.2
7828491000006117,1,.2
1562951000006113,1,.2
7828481000006115,1,.2
7828501000006113,1,.2
7828461000006113,1,.2
1562941000006111,1,.2
1562931000006118,1,.2
1562921000006116,1,.2
317711000000115,1,.2
2649534015,1,.2
7011321000006110,1,.2
7011311000006119,1,.2
7011281000006116,1,.2
7011291000006118,1,.2
302490012,1,.2
3513611000006117,1,.2
81311000006115,1,.2
302595016,1,.2
302602017,1,.2
206558015,1,.2
302603010,1,.2
3539941000006116,1,.2
499719010,1,.2
302572013,1,.2
110704012,1,.2
3823411000006113,1,.2
504674011,1,.2
5495621000006112,1,.2
397705018,1,.2
397706017,1,.2
5495611000006116,1,.2
863201000006111,1,.2
269310018,1,.2
906031000006113,1,.2
252563014,1,.2
886001000006111,1,.2
3496021000006116,1,.2
498977018,1,.2
302553013,1,.2
