medcodeid,ctd_cnd,ctd_weight
2589441000000117,1,.4
8415321000006113,1,.4
8425381000006118,1,.4
2640821000000117,1,.4
8425391000006115,1,.4
4125671000006110,1,.4
572101000006119,1,.4
736251000006113,1,.4
312574017,1,.4
428621000006114,1,.4
400155018,1,.4
309384013,1,.4
309391011,1,.4
221451000000115,1,.4
621001000006118,1,.4
312583010,1,.4
311496011,1,.4
2670341000006112,1,.4
4193731000006110,1,.4
4193701000006119,1,.4
4193711000006116,1,.4
222101000000116,1,.4
4193741000006117,1,.4
2739071000006115,1,.4
25612013,1,.4
1539141000006113,1,.4
251794010,1,.4
4541331000006113,1,.4
1221457011,1,.4
2770301000006119,1,.4
2770311000006116,1,.4
2770321000006112,1,.4
2770341000006117,1,.4
2770331000006110,1,.4
1728151000006118,1,.4
1875561000006119,1,.4
1875571000006114,1,.4
1875581000006112,1,.4
1875591000006110,1,.4
1875601000006119,1,.4
1875611000006116,1,.4
1880371000006117,1,.4
309688015,1,.4
309689011,1,.4
312527014,1,.4
309697016,1,.4
309705010,1,.4
603451000006115,1,.4
309698014,1,.4
309732017,1,.4
603431000006110,1,.4
309702013,1,.4
603601000006117,1,.4
219261000000112,1,.4
309686016,1,.4
603751000006111,1,.4
309701018,1,.4
2798931000006119,1,.4
603721000006119,1,.4
309699018,1,.4
376211000006111,1,.4
603521000006111,1,.4
309685017,1,.4
221481000000114,1,.4
2798951000006114,1,.4
309692010,1,.4
309696013,1,.4
2798941000006112,1,.4
1898101000006110,1,.4
297545013,1,.4
4770431000006110,1,.4
422991000006117,1,.4
297540015,1,.4
297542011,1,.4
297544012,1,.4
1932121000006116,1,.4
297639014,1,.4
297641010,1,.4
4770951000006114,1,.4
297644019,1,.4
4770971000006116,1,.4
4771001000006119,1,.4
297645018,1,.4
4770991000006115,1,.4
32612014,1,.4
2807051000006114,1,.4
2807061000006111,1,.4
32869011,1,.4
301716018,1,.4
4782401000006112,1,.4
4782411000006110,1,.4
4782481000006115,1,.4
301720019,1,.4
4782461000006113,1,.4
301721015,1,.4
308697013,1,.4
4805591000006111,1,.4
4805601000006115,1,.4
308709013,1,.4
308700012,1,.4
