medcodeid,atr_cnd,atr_weight
300132017,1,1.3
350465014,1,1.3
421235014,1,1.3
2675253013,1,1.3
2675306013,1,1.3
636721000000112,1,1.3
636701000000115,1,1.3
82343012,1,1.3
9988012,1,1.3
2608211000000115,1,1.3
300130013,1,1.3
