medcodeid,anxdep_sno,anxdep_weight
342665019,1,.47
345102013,1,.47
345691000000118,1,.47
3457891000006119,1,.47
346972018,1,.47
346973011,1,.47
346985015,1,.47
346989014,1,.47
3517911000006115,1,.47
3517921000006111,1,.47
3543571000006119,1,.47
3543581000006116,1,.47
3543591000006118,1,.47
3543611000006112,1,.47
3564121000006117,1,.47
359121000006116,1,.47
359201000006116,1,.47
3592651000006112,1,.47
3592661000006114,1,.47
3592671000006119,1,.47
3592691000006118,1,.47
3592701000006118,1,.47
3597101000006119,1,.47
3597111000006116,1,.47
3597121000006112,1,.47
3600941000006114,1,.47
362181000006117,1,.47
362301000006112,1,.47
362401000006115,1,.47
362441000006118,1,.47
362871000006111,1,.47
362881000006114,1,.47
363211000006112,1,.47
363221000006116,1,.47
363281000006117,1,.47
363361000006117,1,.47
363641000006114,1,.47
363651000006111,1,.47
363661000006113,1,.47
363671000006118,1,.47
363681000006115,1,.47
363691000006117,1,.47
3649681000006111,1,.47
3649691000006114,1,.47
3654101000006113,1,.47
366561000006119,1,.47
366611000006116,1,.47
3667801000006118,1,.47
3667811000006115,1,.47
3667821000006111,1,.47
367061000006114,1,.47
368021000006119,1,.47
369982012,1,.47
370038014,1,.47
370048011,1,.47
370049015,1,.47
370861000006110,1,.47
371011000006114,1,.47
371071000006117,1,.47
371231000006113,1,.47
371341000006110,1,.47
371361000006114,1,.47
371371000006119,1,.47
3714641000006115,1,.47
3714651000006118,1,.47
3714661000006116,1,.47
3719651000006117,1,.47
3719661000006115,1,.47
375721000006119,1,.47
375731000006116,1,.47
375971000006116,1,.47
376011000006116,1,.47
376021000006112,1,.47
376031000006110,1,.47
376041000006117,1,.47
376051000006115,1,.47
376061000006118,1,.47
376071000006113,1,.47
376081000006111,1,.47
376091000006114,1,.47
376101000006115,1,.47
376501000006110,1,.47
376691000006116,1,.47
376711000006118,1,.47
376721000006114,1,.47
376741000006119,1,.47
378101000006119,1,.47
378121000006112,1,.47
378131000006110,1,.47
378141000006117,1,.47
378291000006117,1,.47
379411000006119,1,.47
379431000006113,1,.47
379511000006118,1,.47
379771000006116,1,.47
379781000006118,1,.47
3870001000006113,1,.47
3870011000006111,1,.47
3870021000006115,1,.47
387831000006114,1,.47
388071000006116,1,.47
388131000006118,1,.47
388391000006117,1,.47
388871000006111,1,.47
389371000006113,1,.47
389381000006111,1,.47
389391000006114,1,.47
389431000006115,1,.47
389441000006113,1,.47
389451000006110,1,.47
389491000006116,1,.47
394461000006110,1,.47
3944941000006111,1,.47
396081000006116,1,.47
396141000006114,1,.47
396771000006117,1,.47
396781000006119,1,.47
397972011,1,.47
398351000006110,1,.47
398561000006117,1,.47
398581000006110,1,.47
398841000006119,1,.47
399101000006116,1,.47
399111000006118,1,.47
399841000006110,1,.47
399961000006118,1,.47
399981000006111,1,.47
399991000006114,1,.47
400071000006111,1,.47
400081000006114,1,.47
400151000006119,1,.47
400201000006111,1,.47
400311000006117,1,.47
400321000006113,1,.47
400341000006118,1,.47
400351000006116,1,.47
401766011,1,.47
401779019,1,.47
401780016,1,.47
401783019,1,.47
401785014,1,.47
401786010,1,.47
401787018,1,.47
401804015,1,.47
401810015,1,.47
401856011,1,.47
401857019,1,.47
401866015,1,.47
401869010,1,.47
401871010,1,.47
401872015,1,.47
401873013,1,.47
401876017,1,.47
401881014,1,.47
401885017,1,.47
401886016,1,.47
401887013,1,.47
401888015,1,.47
401898014,1,.47
402503018,1,.47
402504012,1,.47
402505013,1,.47
403931000006116,1,.47
410861011,1,.47
412299019,1,.47
417851000006113,1,.47
418031000006113,1,.47
418051000006118,1,.47
418061000006116,1,.47
418181000006110,1,.47
418541000006110,1,.47
418571000006119,1,.47
4196071000006119,1,.47
419841000006116,1,.47
419861000006117,1,.47
420631000006114,1,.47
420641000006116,1,.47
420671000006112,1,.47
423021000006114,1,.47
423041000006119,1,.47
423061000006115,1,.47
423091000006111,1,.47
423101000006117,1,.47
423611000006111,1,.47
423731000006114,1,.47
423741000006116,1,.47
423751000006119,1,.47
423781000006110,1,.47
423791000006113,1,.47
423801000006114,1,.47
423811000006112,1,.47
423831000006118,1,.47
423841000006111,1,.47
423851000006113,1,.47
423861000006110,1,.47
423881000006117,1,.47
423911000006117,1,.47
423951000006116,1,.47
423961000006119,1,.47
423971000006114,1,.47
424011000006115,1,.47
424021000006111,1,.47
424031000006114,1,.47
424041000006116,1,.47
424051000006119,1,.47
424061000006117,1,.47
424071000006112,1,.47
424081000006110,1,.47
424091000006113,1,.47
424111000006116,1,.47
424121000006112,1,.47
424131000006110,1,.47
424141000006117,1,.47
424151000006115,1,.47
424161000006118,1,.47
424191000006114,1,.47
424201000006112,1,.47
424241000006114,1,.47
424471000006119,1,.47
424531000006118,1,.47
424541000006111,1,.47
424551000006113,1,.47
424561000006110,1,.47
424571000006115,1,.47
424631000006119,1,.47
424641000006112,1,.47
424651000006114,1,.47
424671000006116,1,.47
425411000006110,1,.47
425501000006113,1,.47
425561000006114,1,.47
425691000006119,1,.47
425731000006110,1,.47
425751000006115,1,.47
426871000006113,1,.47
426891000006114,1,.47
426911000006111,1,.47
426921000006115,1,.47
426931000006117,1,.47
426941000006110,1,.47
426951000006112,1,.47
426961000006114,1,.47
426971000006119,1,.47
426981000006116,1,.47
426991000006118,1,.47
427051000006113,1,.47
427061000006110,1,.47
427071000006115,1,.47
427131000006117,1,.47
427141000006110,1,.47
427231000006111,1,.47
428641000006119,1,.47
429421000006116,1,.47
429691000006116,1,.47
429711000006118,1,.47
429921000006111,1,.47
432511000006119,1,.47
432551000006118,1,.47
441512015,1,.47
441826016,1,.47
442663013,1,.47
451801000006114,1,.47
4539991000006111,1,.47
4550971000006119,1,.47
4559791000006113,1,.47
456251000006115,1,.47
4567951000006118,1,.47
459711000006119,1,.47
46406011,1,.47
46407019,1,.47
46409016,1,.47
474171000006112,1,.47
475487017,1,.47
4763391000006117,1,.47
4763461000006119,1,.47
4764621000006114,1,.47
4764661000006115,1,.47
4764671000006110,1,.47
4764691000006111,1,.47
4764701000006111,1,.47
4764711000006114,1,.47
4764791000006116,1,.47
4764811000006117,1,.47
4764861000006119,1,.47
4764871000006114,1,.47
4764881000006112,1,.47
4764891000006110,1,.47
4764961000006110,1,.47
4766081000006111,1,.47
4766121000006113,1,.47
4766171000006114,1,.47
4766181000006112,1,.47
4766191000006110,1,.47
4766221000006115,1,.47
4766231000006117,1,.47
4766241000006110,1,.47
4766251000006112,1,.47
4766271000006119,1,.47
4766291000006118,1,.47
4766301000006117,1,.47
4766331000006113,1,.47
4766361000006116,1,.47
4766391000006112,1,.47
4766621000006118,1,.47
4766771000006110,1,.47
4767071000006111,1,.47
4767501000006113,1,.47
4791081000006117,1,.47
481154010,1,.47
481471000006112,1,.47
481481000006110,1,.47
4836011000006114,1,.47
4836031000006115,1,.47
4836041000006113,1,.47
4836051000006110,1,.47
4836061000006112,1,.47
4836071000006117,1,.47
4836081000006119,1,.47
4836091000006116,1,.47
4836101000006110,1,.47
484680014,1,.47
484681013,1,.47
485869017,1,.47
485870016,1,.47
488201000006114,1,.47
488211000006112,1,.47
488251000006113,1,.47
489141000006110,1,.47
4905761000006118,1,.47
492615014,1,.47
493878012,1,.47
496061000006116,1,.47
496410014,1,.47
496413011,1,.47
496414017,1,.47
4981541000006112,1,.47
500650019,1,.47
500817017,1,.47
5024071000006118,1,.47
5024191000006116,1,.47
5024241000006116,1,.47
5024251000006119,1,.47
5024261000006117,1,.47
504351000006118,1,.47
504551000006114,1,.47
5128581000006112,1,.47
513721000006114,1,.47
516601000000113,1,.47
5249501000006113,1,.47
5249511000006111,1,.47
5493511000006118,1,.47
550361000006119,1,.47
5506591000006111,1,.47
5506811000006116,1,.47
566931000000114,1,.47
566981000000113,1,.47
6025521000006113,1,.47
6025531000006111,1,.47
6025541000006118,1,.47
6025551000006116,1,.47
613781000006118,1,.47
613791000006115,1,.47
626101000006114,1,.47
626121000006116,1,.47
633191000006112,1,.47
633201000006110,1,.47
6358151000006115,1,.47
642461000006116,1,.47
6461521000006110,1,.47
6462221000006118,1,.47
6462231000006115,1,.47
647711000006111,1,.47
64921000006112,1,.47
65032014,1,.47
6550101000006115,1,.47
6592981000006116,1,.47
6592991000006118,1,.47
6594761000006115,1,.47
6651471000006117,1,.47
675161000006119,1,.47
675731000006112,1,.47
675861000006113,1,.47
675881000006115,1,.47
675901000006118,1,.47
675911000006115,1,.47
675921000006111,1,.47
677031000006115,1,.47
677321000006115,1,.47
684221000006112,1,.47
68432015,1,.47
6857231000006117,1,.47
6909611000006117,1,.47
6910391000006112,1,.47
694811000006118,1,.47
698801000006112,1,.47
701591000006118,1,.47
7046013,1,.47
716761000006110,1,.47
7308431000006110,1,.47
7308441000006117,1,.47
7310811000006117,1,.47
7310821000006113,1,.47
7310831000006111,1,.47
7337431000006116,1,.47
7337441000006114,1,.47
7337451000006111,1,.47
73437013,1,.47
7488401000006113,1,.47
760791000006116,1,.47
7663271000006111,1,.47
7733361000006112,1,.47
7733371000006117,1,.47
7733381000006119,1,.47
7776981000006112,1,.47
7776991000006110,1,.47
787521000006112,1,.47
787571000006113,1,.47
798571000006111,1,.47
8121881000006110,1,.47
824751000006111,1,.47
8269201000006111,1,.47
8278491000006117,1,.47
8278501000006113,1,.47
8297491000006114,1,.47
851141000006112,1,.47
851351000006112,1,.47
853201000006116,1,.47
853241000006119,1,.47
856281000006116,1,.47
87704019,1,.47
882341000006114,1,.47
882351000006111,1,.47
882371000006118,1,.47
882381000006115,1,.47
882391000006117,1,.47
882401000006115,1,.47
882411000006117,1,.47
882421000006113,1,.47
882431000006111,1,.47
882541000006117,1,.47
882551000006115,1,.47
882561000006118,1,.47
882571000006113,1,.47
882591000006114,1,.47
882631000006114,1,.47
882661000006117,1,.47
882751000006112,1,.47
882811000006119,1,.47
882821000006110,1,.47
882831000006113,1,.47
887471000006112,1,.47
897431000006113,1,.47
901611000006119,1,.47
90724016,1,.47
909691000006113,1,.47
909701000006113,1,.47
932131000006118,1,.47
9331000006113,1,.47
959751000006115,1,.47
960061000006117,1,.47
967791000006111,1,.47
972931000006117,1,.47
97986013,1,.47
980191000006111,1,.47
982241000006110,1,.47
982251000006112,1,.47
982261000006114,1,.47
988881000006118,1,.47
991621000006112,1,.47
991801000006118,1,.47
