medcodeid,bro_cnd,bro_weight
38677017,1,.66
2867041000006113,1,.66
1854831000006111,1,.66
2404941000000118,1,.66
21163015,1,.66
301526011,1,.66
128792019,1,.66
3762481000006115,1,.66
301524014,1,.66
4781641000006119,1,.66
301525010,1,.66
