medcodeid,psm_cnd,psm_weight
3492921000006116,1,.38
397721000006115,1,.38
2301851000000116,1,.38
2548888013,1,.38
294680014,1,.38
4763261000006115,1,.38
295210017,1,.38
295326018,1,.38
1971961000006119,1,.38
2001391000006113,1,.38
1974371000006111,1,.38
295240015,1,.38
1975391000006111,1,.38
3547381000006115,1,.38
3547401000006115,1,.38
499838014,1,.38
107023015,1,.38
342443012,1,.38
346944013,1,.38
346943019,1,.38
295286018,1,.38
295325019,1,.38
456064014,1,.38
249855011,1,.38
4529531000006115,1,.38
4529561000006112,1,.38
249858013,1,.38
249857015,1,.38
2548767014,1,.38
973021000006110,1,.38
1153411000000119,1,.38
1714461000006113,1,.38
8191161000006117,1,.38
1973261000006112,1,.38
7517481000006112,1,.38
1550291000000111,1,.38
189631000000117,1,.38
540681000000110,1,.38
295272017,1,.38
5963771000006115,1,.38
5963761000006110,1,.38
450216018,1,.38
295168010,1,.38
346934011,1,.38
346945014,1,.38
294690018,1,.38
4763361000006113,1,.38
295297018,1,.38
342490014,1,.38
6240301000006113,1,.38
2670794016,1,.38
2548992019,1,.38
2533731018,1,.38
4763281000006113,1,.38
294681013,1,.38
2537051014,1,.38
6850101000006119,1,.38
3916701000006114,1,.38
397941000006113,1,.38
371181000006118,1,.38
1809471000006115,1,.38
2537261000006113,1,.38
2537281000006115,1,.38
