medcodeid,ms_cnd,ms_weight
297181019,1,.69
1223979019,1,.69
2894411000006110,1,.69
2894421000006119,1,.69
41398015,1,.69
297180018,1,.69
4769341000006111,1,.69
297179016,1,.69
4769321000006116,1,.69
7092351000006112,1,.69
2692565012,1,.69
2674605012,1,.69
7045281000006112,1,.69
641211000000118,1,.69
7058051000006116,1,.69
1682241000006111,1,.69
4769281000006110,1,.69
695191000006119,1,.69
4769291000006113,1,.69
297177019,1,.69
