medcodeid,thy_cnd,thy_weight
3438811000006112,1,.08
292347014,1,.08
292350012,1,.08
3438821000006116,1,.08
292346017,1,.08
3438801000006114,1,.08
3438791000006113,1,.08
292394018,1,.08
216181000006112,1,.08
292396016,1,.08
2726511000006112,1,.08
293752012,1,.08
223231000000110,1,.08
292450011,1,.08
292446016,1,.08
377991000006111,1,.08
292449011,1,.08
292438017,1,.08
378001000006118,1,.08
293751017,1,.08
292435019,1,.08
292400016,1,.08
292404013,1,.08
4012851000006114,1,.08
4012861000006111,1,.08
4012841000006112,1,.08
4012831000006119,1,.08
153761017,1,.08
320491012,1,.08
320495015,1,.08
1673561000006110,1,.08
6942931000006118,1,.08
2933351000006115,1,.08
2536050019,1,.08
2933321000006112,1,.08
2933341000006117,1,.08
47431000006115,1,.08
135951000000113,1,.08
3843711000006117,1,.08
88781000006119,1,.08
3843671000006116,1,.08
3843681000006118,1,.08
3843691000006115,1,.08
330829017,1,.08
428821000006113,1,.08
472041000006112,1,.08
358351000006115,1,.08
358361000006118,1,.08
2928111000006113,1,.08
44747011,1,.08
2928121000006117,1,.08
229841000006110,1,.08
315524014,1,.08
3022681000006111,1,.08
315528012,1,.08
3022691000006114,1,.08
5568501000006118,1,.08
143001000006118,1,.08
139171000000115,1,.08
5915211000006117,1,.08
315529016,1,.08
266340017,1,.08
266339019,1,.08
44541000006119,1,.08
266341018,1,.08
266351017,1,.08
266350016,1,.08
219901000000118,1,.08
2745221000006114,1,.08
12761711000006117,1,.08
170801000006115,1,.08
3579611000006111,1,.08
3579561000006113,1,.08
3579601000006113,1,.08
118901000006115,1,.08
13031201000006110,1,.08
3579591000006117,1,.08
3579621000006115,1,.08
3579581000006115,1,.08
11790071000006115,1,.08
266321011,1,.08
5905751000006113,1,.08
113012012,1,.08
5905731000006118,1,.08
4699181000006114,1,.08
319121000006113,1,.08
297175010,1,.08
12703581000006117,1,.08
297380013,1,.08
299414015,1,.08
623901000006118,1,.08
399410011,1,.08
297425019,1,.08
297424015,1,.08
2880701000006113,1,.08
428591000006112,1,.08
2880691000006113,1,.08
405501000006119,1,.08
358371000006113,1,.08
472061000006111,1,.08
4768961000006116,1,.08
542671000006117,1,.08
4768951000006118,1,.08
4553351000006117,1,.08
274441000006110,1,.08
253814010,1,.08
253809011,1,.08
583281000006118,1,.08
5108941000006119,1,.08
5108931000006112,1,.08
292373016,1,.08
398783013,1,.08
588661000006115,1,.08
292376012,1,.08
3720391000006119,1,.08
12704331000006114,1,.08
583291000006115,1,.08
502891013,1,.08
5524851000006117,1,.08
632881000006110,1,.08
461141000006112,1,.08
458591000006113,1,.08
4757911000006114,1,.08
682701000006117,1,.08
3927661000006113,1,.08
3927651000006111,1,.08
3927641000006114,1,.08
759341000006113,1,.08
404791000006117,1,.08
5109051000006110,1,.08
5109061000006112,1,.08
759371000006117,1,.08
3872561000006117,1,.08
3872541000006116,1,.08
3872531000006114,1,.08
3872551000006119,1,.08
554221000006113,1,.08
3084131000006118,1,.08
3084111000006112,1,.08
881361000006116,1,.08
3084121000006116,1,.08
297611000006111,1,.08
292154013,1,.08
729511000006116,1,.08
292156010,1,.08
729471000006114,1,.08
289421017,1,.08
6362541000006119,1,.08
6362531000006112,1,.08
11918251000006111,1,.08
2474336017,1,.08
11918641000006112,1,.08
316966010,1,.08
11989611000006115,1,.08
680371000006113,1,.08
5587151000006111,1,.08
4553391000006111,1,.08
12453811000006113,1,.08
253812014,1,.08
292342015,1,.08
3511891000006110,1,.08
3511881000006112,1,.08
3511871000006114,1,.08
3511901000006114,1,.08
292437010,1,.08
136211012,1,.08
4008941000006119,1,.08
4008961000006115,1,.08
153380017,1,.08
5108951000006117,1,.08
5108961000006115,1,.08
583301000006119,1,.08
262530017,1,.08
1107471000006118,1,.08
320398019,1,.08
101601000006119,1,.08
3135511000006119,1,.08
363611000000115,1,.08
320494016,1,.08
2342471000000113,1,.08
2533534011,1,.08
264732010,1,.08
292334016,1,.08
4757701000006113,1,.08
101291000006112,1,.08
101261000006116,1,.08
887981000006117,1,.08
101301000006113,1,.08
2907531000006116,1,.08
42711014,1,.08
2342421000000114,1,.08
292339014,1,.08
4757741000006110,1,.08
297641000006110,1,.08
4757621000006111,1,.08
4757631000006114,1,.08
4757641000006116,1,.08
4757611000006115,1,.08
123651000006111,1,.08
2455341000000110,1,.08
542301000006117,1,.08
4769091000006117,1,.08
4769101000006111,1,.08
460271015,1,.08
397819011,1,.08
1227577011,1,.08
1227579014,1,.08
12222981000006116,1,.08
1227576019,1,.08
345781000006116,1,.08
5496831000006118,1,.08
1227580012,1,.08
1227575015,1,.08
1216363017,1,.08
460270019,1,.08
420391000006117,1,.08
1227582016,1,.08
397820017,1,.08
808241000006117,1,.08
397818015,1,.08
1227583014,1,.08
397821018,1,.08
1227581011,1,.08
1057431000006115,1,.08
1822501000006112,1,.08
3627501000006110,1,.08
292335015,1,.08
3627481000006117,1,.08
3627491000006119,1,.08
3627511000006113,1,.08
4718891000006115,1,.08
4718911000006118,1,.08
4718901000006116,1,.08
282815011,1,.08
292440010,1,.08
4757941000006113,1,.08
1013771000006113,1,.08
139031000000116,1,.08
308761000006110,1,.08
3674201000006117,1,.08
3674231000006113,1,.08
3674181000006118,1,.08
3674221000006110,1,.08
3674171000006116,1,.08
3674191000006115,1,.08
3674241000006115,1,.08
318241000006117,1,.08
266323014,1,.08
2715761000006118,1,.08
266325019,1,.08
2715751000006115,1,.08
266324015,1,.08
654931000006112,1,.08
101731000006118,1,.08
2159312015,1,.08
8460561000006117,1,.08
8460551000006119,1,.08
12453821000006117,1,.08
4553361000006115,1,.08
4553381000006113,1,.08
253811019,1,.08
5721001000006113,1,.08
5720991000006112,1,.08
881371000006111,1,.08
102259010,1,.08
1842201000006112,1,.08
4757661000006117,1,.08
292327018,1,.08
6246951000006113,1,.08
6246961000006110,1,.08
12762121000006115,1,.08
13031451000006110,1,.08
721291000006110,1,.08
880531000006114,1,.08
6246931000006118,1,.08
1955531000033116,1,.08
110161000006119,1,.08
498896018,1,.08
3490501000006116,1,.08
3490471000006111,1,.08
3490511000006118,1,.08
3490481000006114,1,.08
3490491000006112,1,.08
