medcodeid,psoecz_sno,psoecz_weight
4192331000006118,1,.25
590711000006110,1,.25
2609851000006115,1,.25
2673361000006116,1,.25
2673381000006114,1,.25
2673421000006116,1,.25
2673391000006112,1,.25
2673371000006111,1,.25
2673401000006114,1,.25
591081000006111,1,.25
2673411000006112,1,.25
399917015,1,.25
309315018,1,.25
309324010,1,.25
308581011,1,.25
9309971000006118,1,.25
11782161000006111,1,.25
11904801000006117,1,.25
308568016,1,.25
4804851000006119,1,.25
2632961000000119,1,.25
7782131000006118,1,.25
7782121000006116,1,.25
4804961000006113,1,.25
4804941000006114,1,.25
477331000006119,1,.25
1779279014,1,.25
308579014,1,.25
362991000006116,1,.25
939531000006118,1,.25
150503015,1,.25
94953018,1,.25
889201000006112,1,.25
12724891000006113,1,.25
980491000006115,1,.25
130689015,1,.25
3781091000006115,1,.25
11640201000006116,1,.25
5502001000006111,1,.25
399913016,1,.25
5501981000006111,1,.25
3081241000006117,1,.25
3081281000006111,1,.25
3081251000006115,1,.25
53821000006111,1,.25
3081271000006113,1,.25
3081261000006118,1,.25
100341000006117,1,.25
906691000006119,1,.25
308555012,1,.25
4804781000006117,1,.25
4804761000006110,1,.25
1577061000006119,1,.25
4804881000006110,1,.25
4804901000006112,1,.25
308575015,1,.25
104278011,1,.25
737371000006110,1,.25
939541000006111,1,.25
4062591000006119,1,.25
512310013,1,.25
4062611000006113,1,.25
2382031000033119,1,.25
308589013,1,.25
4805161000006112,1,.25
4804991000006117,1,.25
4804971000006118,1,.25
308578018,1,.25
4804281000006114,1,.25
4804261000006116,1,.25
308509010,1,.25
4804271000006111,1,.25
674301000006118,1,.25
2507741000006111,1,.25
2507801000006118,1,.25
2050012,1,.25
2507781000006117,1,.25
2507761000006110,1,.25
2507791000006119,1,.25
2507751000006113,1,.25
2507771000006115,1,.25
676461000006118,1,.25
4805011000006110,1,.25
477371000006116,1,.25
3853241000006112,1,.25
137914019,1,.25
138508015,1,.25
3858921000006116,1,.25
300723011,1,.25
884791000006114,1,.25
6859241000006118,1,.25
492621013,1,.25
6859231000006111,1,.25
308514014,1,.25
4804461000006115,1,.25
4804441000006119,1,.25
4804451000006117,1,.25
357561017,1,.25
